Mouse Name,Sex,Side Side,Pursuit,Paired Exploration,Nose Nose,Anogenital Sniffing
C262_L,F,28,38,36,18,1
C262_R,F,30,6,29,12,4
C274_L,F,26,26,21,17,8
C292_L,F,22,26,8,20,4
C296_LLR,F,44,10,37,24,5
C296_RRL,F,34,22,31,17,15
C302_L,F,33,23,30,39,8
C308_L,F,21,19,14,16,4
