Mouse Name,Sex,Paired Exploration,Pursuit,Nose Nose,Anogenital Sniffing,Side Side
C262_L,F,1.966,0.237,0.102,0.678,0.517
C262_R,F,1.61,0.322,0.212,0.051,0.432
C274_L,F,1.695,0.136,0.119,0.085,0.449
C292_L,F,1.966,0.231,0.127,0.102,0.576
C296_LLR,F,2.644,0.195,0.136,0.051,0.678
C296_RRL,F,2.661,0.195,0.153,0.441,0.534
C302_L,F,1.542,0.169,0.169,0.034,0.593
C308_L,F,2.017,0.136,0.153,0.068,0.576
