Mouse Name,Sex,Paired Exploration,Pursuit,Nose Nose,Anogenital Sniffing,Side Side
C249_LR,M,1.983,0.169,0.246,0.271,0.729
C249_RR,M,2.017,0.254,0.288,0.017,0.542
C255_L,M,2.068,0.195,0.102,0.153,0.644
C257_L,M,1.966,0.169,0.153,0.034,0.593
C257_R,M,2.678,0.212,0.119,0.093,0.534
C289_L,M,2.203,0.186,0.102,0.102,0.525
C303_L,M,2.398,0.237,0.119,0.119,0.661
C313_L,M,1.661,0.22,0.186,0.068,0.441
